Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 4,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ENERGIE,https://upload.wikimedia.org/wikipedia/fr/f/f7/Logo_TotalEnergies.svg,2026,Energie,,"5,60","76,38","41,09","41,94","0,86","13,01","0,28","3,94",,,"3,88","13,99","2,12","12,77","7,91","9,82","4,23",,"161,90",EPA:TTE,"9,61","8,52","1,50",,,,valourec vk,,,,,Column 15,Entreprise,Colonne 1,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Dividende %,Valeur %,Per,Dette/EBITDA,ROIC,Marge opé,,,,,,,
TOTAL ENERGIE,,2025,,,,,,,,,"1,71",,,"5,87","23,47","13,72","2,14","10,85","7,88","11,49","4,16",,"161,57",,,,,,,,interparfun,,,,,,TOTAL ENERGIE,https://upload.wikimedia.org/wikipedia/fr/f/f7/Logo_TotalEnergies.svg,2026,Energie,,"5,60","76,38","41,09","41,94","0,86","13,01","0,28","3,94",,,"3,88","13,99","2,12","12,77","7,91","9,82"
TOTAL ENERGIE,,2024,,,,,,,,,"1,51",,"3,22","7,51","22,35","14,81","2,25","8,48","9,77","12,74","6,37","50,79","180,40",,,,,,,,,,,,,,AIR LIQUIDE,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Air_Liquide_-_logo_%28France%2C_2017%29.svg/960px-Air_Liquide_-_logo_%28France%2C_2017%29.svg.png,2026,Energie,,"5,60","177,4","172,05","153,12","0,03","27,8","1,67","2,71",,,"23,64","14,12","577,57","29,83","9,55","21,52"
TOTAL ENERGIE,,2023,,,,,,,,,"1,09",,"3,01","8,52","18,62","17,07","2,35","7,58","13,67","14,61","8,72","36,79","202,52",,,,,,,,,,,,,,GTT,https://marine-oceans.com/wp-content/uploads/2022/09/gtt-new-logo.jpg,2026,Energie,,"-1,16","196,5","115,80","111,32","0,70",,"0,03","3,82","7,50","9,37","0,42","12,79","37,06","18,45","75,47","65,05"
TOTAL ENERGIE,,2022,,,,,,,,,"0,95",,"2,81","13,02","22,14","23,22","2,48","7,72","13,52","19,32","11,72","36,76","250,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ENERGIE,,2021,,,,,,,,,"1,75",,"2,64","5,88","21,44","12,26","2,61","8,71","9,84","13,43","5,77","51,22","156,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ENERGIE,,2020,,,,,,,,,"4,51",,"2,64","1,17","24,28","5,38","2,63",,"-4,53","1,41","1,36",,"105,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ENERGIE,,2019,,,,,,,,,"1,95",,"2,68","3,90","21,30","10,92","2,59","12,80","7,12","9,23","4,39","69,26","157,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ENERGIE,,2018,,,,,,,,,"1,84",,"2,56","4,42","17,82","9,68","2,61","12,49","7,36","9,23","3,67","68,80","156,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR LIQUIDE,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Air_Liquide_-_logo_%28France%2C_2017%29.svg/960px-Air_Liquide_-_logo_%28France%2C_2017%29.svg.png,2026,Energie,,"5,60","177,42","172,05","153,12","0,03","27,81","1,67","2,71",,,"23,64","14,12","577,57","29,83","9,55","21,52","4,35",,,EPA:AI,"13,02","7,87","3,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR LIQUIDE,,2025,,,,,,,,,"1,67",,,"6,38","23,64","14,12",,"26,34","9,55","20,72","4,35",,"26,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR LIQUIDE,,2024,,,,,,,,,"1,58",,"3,30","6,01","21,53","13,66","576,44","28,31","9,40","19,93","4,49","57,54","27,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR LIQUIDE,,2023,,,,,,,,,"1,60",,"2,91","5,78","21,01","13,10","575,47","27,44","8,94","18,36","4,62","54,28","27,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR LIQUIDE,,2022,,,,,,,,,"1,84",,"2,68","5,51","23,34","12,71","575,80","29,98","8,12","16,24","4,02","55,82","29,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR LIQUIDE,,2021,,,,,,,,,"2,20",,"2,40","4,50","24,32","11,03","573,62","25,14","8,20","17,83","4,28","53,24","23,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR LIQUIDE,,2020,,,,,,,,,"2,29",,"2,27","4,26","23,69","10,33","571,28","28,27","7,95","18,50","4,05","53,26","20,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR LIQUIDE,,2019,,,,,,,,,"2,48",,"2,23","3,93","25,70","10,35","570,50","26,14","7,35","17,31","3,24","56,76","21,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR LIQUIDE,,2018,,,,,,,,,"2,73",,"1,99","3,71","24,99","9,14","769,62","26,67","7,25","16,41","4,04","53,50","21,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVMH,https://upload.wikimedia.org/wikipedia/commons/e/e0/LVMH-black.png,2026,Luxe,,"11,18","469,80","524,40","408,54","-0,10","21,50","1,49","2,77","13,00",,"73,08","48,96","496,39","24,63","11,59","21,20","30,31",,"80,81",EPA:MC,"14,02","8,76","2,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVMH,,2025,,,,,,,,,"1,48",,"13,00","21,85","72,09","48,80","496,39","29,52","11,59","21,88","30,21","59,47","80,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVMH,,2024,,,,,,,,,"1,56",,"13,00","25,12","81,50","52,22","499,37","25,30","13,90","23,08","28,45","51,73","84,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVMH,,2023,,,,,,,,,"1,34",,"13,00","30,33","76,92","57,48","499,51","24,19","18,47","26,46","23,18","42,84","86,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVMH,,2022,,,,,,,,,"1,32",,"12,00","28,03","69,83","52,99","501,08","24,26","18,85","26,54","26,75","42,78","79,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVMH,,2021,,,,,,,,,"1,55",,"10,00","23,89","68,37","44,03","503,19","30,44","18,06","26,67","31,72","41,84","64,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVMH,,2020,,,,,,,,,"2,86",,"6,00","9,32","74,34","25,95","503,90","54,79","8,23","18,64","17,59","64,27","44,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVMH,,2019,,,,,,,,,"1,58",,"4,80","14,36","50,13","31,63","503,65","29,10","15,87","21,35","17,33","33,68","53,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVMH,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERRARI,https://logo-marque.com/wp-content/uploads/2020/05/Ferrari-Logo.png,2026,Luxe,,"12,61","298,60","268,80","221,52","0,11","33,33","1,03","1,00","2,99","8,46","16,23","15,72","177,28","34,74","28,60","29,02","10,49",,"7,15",BIT:RACE,"19,71","15,00","2,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERRARI,,2025,,,,,,,,,"1,03",,,,"16,17","15,66","177,28","35,59","28,60","29,83","10,45",,"7,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERRARI,,2024,,,,,,,,,"1,31",,"2,99","6,90","18,62","14,22","179,04","48,77","29,41","28,34","8,02","35,27","6,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERRARI,,2023,,,,,,,,,"1,08",,"2,44","5,09","13,65","12,63","180,42","44,25","27,15","27,30","7,35","35,36","5,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERRARI,,2022,,,,,,,,,"1,57",,"1,81","4,50","15,36","9,77","181,95","36,30","21,33","24,39","5,77","35,48","5,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERRARI,,2021,,,,,,,,,"1,72",,"1,36","2,88","14,24","8,28","183,84","50,58","20,92","25,15","5,04","30,24","4,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERRARI,,2020,,,,,,,,,"2,36",,"0,87","3,71","14,70","6,24","184,75","57,54","17,96","21,10","2,60","26,36","3,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERRARI,,2019,,,,,,,,,"1,64",,"1,13","3,40","11,14","6,78","185,28","39,86","22,91","24,40","5,09","30,33","3,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERRARI,,2018,,,,,,,,,"1,73",,"1,03",,"10,18","5,89","187,92","20,95","30,17","24,18","1,56","24,76","3,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERALLIA,https://upload.wikimedia.org/wikipedia/fr/0/07/Logo_verallia.jpg,2026,Industrie,,"13,34","19,74","25,79","22,81","-0,23","9,19","3,32","8,61","1,70",,"19,03","5,73","117,83","24,00","3,24","9,16","1,76",,"3,41",EPA:VRLA,"4,63","7,44","3,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERALLIA,,2025,,,,,,,,,"3,32",,,"1,25","19,04","5,74","117,83","30,00","3,24","9,37","1,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERALLIA,,2024,,,,,,,,,"2,73",,"1,70","2,00","19,13","7,02","117,72","12,14","8,78","13,77","1,08","84,68","3,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERALLIA,,2023,,,,,,,,,"1,68",,"2,15","4,01","15,68","9,31","116,90","8,70","18,54","19,66","3,35","53,49","3,90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERALLIA,,2022,,,,,,,,,"2,05",,"1,40","2,92","15,01","7,31","117,26","10,87","14,03","16,99","2,59","47,97","3,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
